keyword,title,company,location,career,education,work_type,deadline,link,rec_idx,crawled_at
병원 데이터,에스디바이오센서(주) 마케팅/영업 분야 수시채용,에스디바이오센서(주),"['경기', '용인시 기흥구']",경력무관,대졸↑,정규직,~ 09/14(일),/zf_user/jobs/relay/view?view_type=search&rec_idx=51648910&location=ts&searchword=%EB%B3%91%EC%9B%90+%EB%8D%B0%EC%9D%B4%ED%84%B0&searchType=search&paid_fl=n&search_uuid=069236eb-4fb8-429b-aba3-b49939ae20ca,51648910,2025-09-02 05:55:54
PM,[베이글랩스] 디지털치료기기(DTx)PM모집,(주)베이글랩스,"['서울', '서초구']",경력5년↑,학력무관,정규직,~ 09/05(금),/zf_user/jobs/relay/view?view_type=search&rec_idx=51222449&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=bd938640-1482-48ff-865c-4de080535c33,51222449,2025-09-02 05:55:56
PM,(주)윕스 웹 서비스 기획자 모집 (경력직),(주)윕스,"['서울', '마포구']",경력1년↑,대졸↑,정규직,~ 09/04(목),/zf_user/jobs/relay/view?view_type=search&rec_idx=51626058&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=bd938640-1482-48ff-865c-4de080535c33,51626058,2025-09-02 05:55:56
PM,디지털 콘텐츠 총괄매니저(경력) 채용,(주)아이포트폴리오,"['서울', '강서구']",경력5년↑,학력무관,정규직,~ 09/14(일),/zf_user/jobs/relay/view?view_type=search&rec_idx=51311057&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=bd938640-1482-48ff-865c-4de080535c33,51311057,2025-09-02 05:55:56
PM,[Yanolja NEXT] Product Manager,(주)야놀자,"['서울', '강남구']",경력5년↑,학력무관,정규직,채용시,/zf_user/jobs/relay/view?view_type=search&rec_idx=51499522&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=bd938640-1482-48ff-865c-4de080535c33,51499522,2025-09-02 05:55:56
PM,태그바이컴퍼니(주) 인플루언서 커머스 MD 모집,태그바이컴퍼니(주),"['서울', '강남구']",경력 2~15년,학력무관,정규직,~ 10/19(일),/zf_user/jobs/relay/view?view_type=search&rec_idx=51603323&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=bd938640-1482-48ff-865c-4de080535c33,51603323,2025-09-02 05:55:56
PM,태그바이컴퍼니(주) 인플루언서 커머스 MD(신입) 모집,태그바이컴퍼니(주),"['서울', '강남구']",신입,학력무관,정규직,~ 09/20(토),/zf_user/jobs/relay/view?view_type=search&rec_idx=51620465&location=ts&searchword=PM&searchType=search&paid_fl=n&search_uuid=bd938640-1482-48ff-865c-4de080535c33,51620465,2025-09-02 05:55:56
헬스케어,"[고속성장헬스케어스타트업] 각 부문 채용 (RA, AI, 영업 등)",아크리얼(주),"['서울', '강남구']",경력무관,대졸↑,정규직,~ 09/19(금),/zf_user/jobs/relay/view?view_type=search&rec_idx=51615245&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51615245,2025-09-02 05:55:59
헬스케어,"서비스 기획[WEHAGO,헬스케어, 반려동물EMR]경력직 채용",(주)더존비즈온,"['서울', '중구']",경력,학력무관,정규직,~ 09/14(일),/zf_user/jobs/relay/view?view_type=search&rec_idx=51639812&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51639812,2025-09-02 05:55:59
헬스케어,[코스닥상장/주4.5일]에스지헬스케어품질보증팀 QC파트 채용,(주)에스지헬스케어,"['경기', '이천시']",경력2년↑,초대졸↑,정규직,~ 10/01(수),/zf_user/jobs/relay/view?view_type=search&rec_idx=51707565&location=ts&searchword=%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4&searchType=search&paid_fl=n&search_uuid=3a3c0aaa-5f54-4407-a76a-c436b7857101,51707565,2025-09-02 05:55:59
